[2025-11-21 19:02:30.444] SCREEN LOCKED - Distance threshold exceeded: 2.36 meters (threshold: 2.2m)
[2025-11-21 19:03:04.498] SCREEN LOCKED - Timeout: No distance received for 14.0 seconds
[2025-11-21 19:08:13.807] SCREEN LOCKED - Timeout: No distance received for 13.6 seconds
[2025-11-21 19:10:28.945] SCREEN LOCKED - Timeout: No distance received for 13.1 seconds
[2025-11-21 19:11:49.028] SCREEN LOCKED - Timeout: No distance received for 13.7 seconds
[2025-11-21 19:12:39.081] SCREEN LOCKED - Timeout: No distance received for 13.5 seconds
[2025-11-21 19:18:19.423] SCREEN LOCKED - Timeout: No distance received for 13.2 seconds
[2025-11-21 19:19:50.515] SCREEN LOCKED - Timeout: No distance received for 13.8 seconds
[2025-11-21 19:22:30.677] SCREEN LOCKED - Timeout: No distance received for 13.9 seconds
[2025-11-21 19:23:04.713] SCREEN LOCKED - Timeout: No distance received for 13.8 seconds
[2025-11-21 19:24:20.789] SCREEN LOCKED - Timeout: No distance received for 13.8 seconds
[2025-11-21 19:30:10.139] SCREEN LOCKED - Timeout: No distance received for 13.8 seconds
[2025-11-22 13:19:22.834] SCREEN LOCKED - Timeout: No distance received for 13.4 seconds
